"ref_year";"tipo_veiculo";"contagem";"unidades";"valor"
2014;"outros";833;2138574;9095181530
2015;"outros";838;659484;8278286070
2016;"outros";793;770897;9826518834
2017;"eletrico_puro";106;0;109970873
2017;"hibridos";20;0;113821871
2017;"outros";770;661056;14129926642
2018;"eletrico_puro";112;141744;129765754
2018;"hibridos";43;4460;199848185
2018;"outros";784;2845018;16925830491
2019;"eletrico_puro";133;240326;438097195
2019;"hibridos";62;12438;537213697
2019;"outros";848;2795648;16290725504
2020;"eletrico_puro";134;193905;1578872517
2020;"hibridos";63;24783;976057910
2020;"outros";847;3218632;17300487605
2021;"eletrico_puro";135;498256;8593978894
2021;"hibridos";63;43170;1433551818
2021;"outros";828;5528924;38743052604
2022;"eletrico_puro";150;943966;20088878232
2022;"hibridos";70;94448;2528352312
2022;"outros";845;6243390;66758566882
2023;"eletrico_puro";167;1545831;34129969037
2023;"hibridos";108;138316;4320235282
2023;"outros";1015;9091176;116847408267
