"partner_desc";"eletrico_puro";"hibridos_com_plug"
"Albania";1023;NA
"Algeria";5;13
"Angola";18;NA
"Antigua and Barbuda";3;NA
"Areas, nes";2961;943
"Argentina";336;NA
"Aruba";245;NA
"Australia";86437;1872
"Austria";710;11
"Bahamas";303;NA
"Bahrain";226;4
"Bangladesh";49957;NA
"Barbados";180;NA
"Belarus";5166;2797
"Belgium";175437;19662
"Belize";16;NA
"Benin";12;NA
"Bermuda";91;NA
"Bhutan";17;NA
"Bolivia (Plurinational State of)";159;261
"Br. Virgin Isds";3;2
"Brazil";36921;30615
"Brunei Darussalam";80;NA
"Bulgaria";1656;27
"Burkina Faso";2;NA
"Cabo Verde";175;NA
"Cambodia";1514;49
"Cameroon";4;NA
"Canada";39904;1378
"Cayman Isds";36;5
"Chile";2805;274
"China, Hong Kong SAR";20481;7
"China, Macao SAR";601;18
"Colombia";3717;6
"Costa Rica";5840;1
"Croatia";398;NA
"Cuba";821;18
"Curaçao";101;NA
"Cyprus";24;NA
"Czechia";396;11
"Côte d'Ivoire";180;3
"Dem. Rep. of the Congo";5;NA
"Denmark";2206;28
"Djibouti";1637;2
"Dominica";4;NA
"Dominican Rep.";441;7
"Ecuador";1928;262
"Egypt";1523;1
"El Salvador";64;12
"Estonia";40;46
"Ethiopia";225;NA
"FS Micronesia";1;NA
"Fiji";8;8
"Finland";651;86
"France";34019;4834
"French Polynesia";270;16
"Gambia";1;NA
"Germany";41156;5973
"Ghana";157;2
"Greece";1420;133
"Grenada";8;NA
"Guatemala";163;20
"Guyana";27;NA
"Honduras";NA;6
"Hungary";192;13
"Iceland";190;2
"India";58577;NA
"Indonesia";13159;1
"Iran";202;6
"Iraq";768;NA
"Ireland";53;NA
"Israel";50541;1017
"Italy";11377;1065
"Jamaica";939;3
"Japan";11968;878
"Jordan";20678;361
"Kazakhstan";8062;2501
"Kenya";33;NA
"Kuwait";142;141
"Kyrgyzstan";10458;13617
"LAIA, nes";3;NA
"Lao People's Dem. Rep.";1449;37
"Latvia";9;NA
"Lebanon";770;10
"Liberia";64;NA
"Libya";4;NA
"Lithuania";830;8
"Luxembourg";11;NA
"Madagascar";80;NA
"Malaysia";11645;NA
"Maldives";78;NA
"Mali";25;NA
"Malta";7;NA
"Marshall Isds";4;NA
"Mauritania";10;NA
"Mauritius";394;77
"Mexico";12006;3279
"Mongolia";394;119
"Montenegro";NA;2
"Morocco";715;95
"Mozambique";11;NA
"Myanmar";2965;27
"Nepal";7438;NA
"Netherlands";55002;113
"New Caledonia";201;NA
"New Zealand";13688;133
"Nicaragua";6;3
"Nigeria";109;NA
"North Macedonia";3;1
"Norway";10508;2
"Oman";70;12
"Other Asia, nes";32;2
"Pakistan";350;1
"Palau";NA;1
"Panama";656;29
"Papua New Guinea";4;2
"Paraguay";129;49
"Peru";1631;31
"Philippines";115423;129
"Poland";8915;102
"Portugal";461;49
"Qatar";305;18
"Rep. of Korea";20824;502
"Rep. of Moldova";207;7
"Rest of America, nes";3;NA
"Romania";908;59
"Russian Federation";8503;11084
"Rwanda";53;2
"Samoa";2;NA
"Saudi Arabia";715;10
"Senegal";16;NA
"Serbia";81;NA
"Seychelles";37;NA
"Sierra Leone";67;NA
"Singapore";4385;19
"Slovakia";429;1
"Slovenia";34801;142
"Solomon Isds";1;NA
"Somalia";133;NA
"South Africa";957;193
"Spain";92395;3339
"Sri Lanka";23;NA
"State of Palestine";208;NA
"Sudan";23;NA
"Suriname";5;3
"Sweden";18685;166
"Switzerland";2232;14
"Tajikistan";2527;63
"Thailand";155910;32
"Timor-Leste";242;NA
"Togo";9;NA
"Trinidad and Tobago";175;145
"Tunisia";16;48
"Turkmenistan";13;NA
"Turks and Caicos Isds";3;NA
"Türkiye";32614;444
"USA";12388;137
"Uganda";3;NA
"Ukraine";3187;7
"United Arab Emirates";34610;1595
"United Kingdom";125314;12074
"United Rep. of Tanzania";40;1
"Uruguay";2200;159
"Uzbekistan";28410;14717
"Vanuatu";10;NA
"Venezuela";15;2
"Viet Nam";3780;NA
"Yemen";2;NA
"Zambia";8;NA
"Zimbabwe";3;NA
